City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
316,oleshky,46.6249,32.7251,60.53,42,0,9.75,UA
317,sebdou,34.637,-1.3314,60.1,44,100,5.59,DZ
318,colesberg,-30.72,25.0972,57.61,37,0,5.61,ZA
319,punta cana,18.5818,-68.4043,85.77,74,40,5.75,DO
320,mers el kebir,35.7279,-0.7081,70.45,73,40,6.91,DZ
321,port lincoln,-34.7333,135.8667,56.52,61,4,7.2,AU
322,carolina beach,34.0352,-77.8936,84.27,81,60,10.92,US
323,namibe,-15.1961,12.1522,73.0,85,0,6.24,AO
324,singleton,-32.5667,151.1833,51.93,98,30,2.68,AU
325,remire-montjoly,4.9167,-52.2667,78.84,94,0,2.3,GF
326,ottawa,45.4112,-75.6981,65.03,62,99,5.88,CA
327,le coteau,46.0271,4.0869,62.69,82,98,3.89,FR
328,rio rancho,35.2334,-106.6645,85.6,9,0,23.02,US
329,al bardiyah,31.7561,25.0865,70.0,67,28,4.18,LY
330,port antonio,18.18,-76.4612,87.71,70,34,7.02,JM
331,fale old settlement,-9.3852,-171.2468,85.21,76,97,13.98,TK
332,alofi,-19.0595,-169.9187,78.69,94,75,10.36,NU
333,sopo,4.9075,-73.9384,59.02,93,100,4.0,CO
334,kaa-khem,51.6833,94.7333,59.41,46,97,4.72,RU
335,khandyga,62.6667,135.6,50.92,56,9,2.33,RU
336,indianola,41.3581,-93.5574,78.6,36,8,5.01,US
337,whangarei,-35.7317,174.3239,56.25,85,100,7.85,NZ
338,gurzuf,44.55,34.2833,58.82,75,30,19.1,UA
339,zhangye,38.9342,100.4517,72.41,24,100,3.31,CN
340,laguna,38.421,-121.4238,75.54,53,40,6.91,US
341,grand falls-windsor,48.9332,-55.6649,40.57,96,100,7.54,CA
342,faya-largeau,17.9257,19.1043,95.77,10,0,7.94,TD
343,salekhard,66.53,66.6019,26.4,87,24,11.01,RU
344,klaksvik,62.2266,-6.589,50.92,98,100,13.24,FO
345,tacna,-18.0056,-70.2483,62.8,68,20,10.36,PE
346,patong,7.8961,98.2966,80.74,78,93,3.91,TH
347,auxerre,47.8,3.5667,59.63,88,100,4.99,FR
348,mokhotlong,-29.2894,29.0675,43.11,66,5,3.44,LS
349,mana,5.6592,-53.7767,81.09,82,46,8.57,GF
350,valdivia,-39.8142,-73.2459,47.21,86,100,2.82,CL
351,tolanaro,-25.0319,46.9987,67.66,90,13,7.65,MG
352,sisimiut,66.9395,-53.6735,34.25,72,13,11.83,GL
353,rusape,-18.5278,32.1284,50.56,91,3,2.48,ZW
354,port blair,11.6667,92.75,84.04,80,100,23.67,IN
355,nyurba,63.2842,118.3319,55.99,73,86,9.06,RU
356,ceeldheer,3.8488,47.1806,81.12,79,99,18.66,SO
357,dawson creek,55.7666,-120.2362,61.72,51,100,2.71,CA
358,nar'yan-mar,67.6713,53.087,30.11,79,100,20.0,RU
359,stephenville,32.2207,-98.2023,89.6,58,0,9.22,US
360,djenne,13.9061,-4.5533,100.24,21,100,10.45,ML
361,manadhoo,5.7667,73.3833,83.75,81,100,17.07,MV
362,dalbandin,28.8947,64.4101,90.72,17,2,5.75,PK
363,vargem grande,-3.5431,-43.9158,80.33,82,96,3.47,BR
364,orchard homes,46.8633,-114.0484,59.27,69,100,8.05,US
365,astoria,46.1879,-123.8313,55.92,81,75,13.0,US
366,san juan de miraflores,-12.1629,-76.9635,61.32,79,58,8.77,PE
367,aligudarz,33.4006,49.6949,61.92,40,1,1.72,IR
368,kimbe,-5.5502,150.1429,77.36,95,91,3.24,PG
369,salto del guaira,-24.0625,-54.3069,57.06,69,100,8.48,PY
370,ogoja,6.6547,8.7976,78.04,81,99,6.67,NG
371,guapiacu,-20.795,-49.2203,71.64,60,70,9.84,BR
372,fort bragg,35.139,-79.006,88.38,77,90,5.99,US
373,cuatro cienegas de carranza,26.9833,-102.0833,103.42,5,99,6.31,MX
374,queensdale,-31.871,26.9786,50.54,62,27,3.4,ZA
375,novyy urgal,51.0736,132.5642,44.6,82,0,1.68,RU
376,'alaqahdari dishu,30.4374,63.313,86.61,22,0,9.93,AF
377,tabou,4.423,-7.3528,79.88,86,54,6.96,CI
378,limassol,34.675,33.0333,69.87,83,0,14.97,CY
379,el rosario,24.2556,-107.1828,97.72,15,24,14.72,MX
380,margate,51.3813,1.3862,58.89,71,92,4.0,GB
381,san pedro pochutla,15.7333,-96.4667,91.11,45,38,9.95,MX
382,fort mcmurray,56.7268,-111.381,63.88,32,88,6.24,CA
383,sittwe,20.15,92.9,82.85,84,100,25.12,MM
384,ploneour-lanvern,47.9,-4.2833,57.52,94,100,10.36,FR
385,kavarna,43.4333,28.3333,60.08,89,69,12.21,BG
386,kudat,6.8837,116.8477,79.61,85,100,3.51,MY
387,chateau-du-loir,47.6949,0.4185,62.58,83,99,2.84,FR
388,uturoa,-16.7333,-151.4333,81.64,82,15,17.58,PF
389,poltavka,54.3663,71.7632,41.7,59,1,1.97,RU
390,mahina,-17.5065,-149.489,83.97,79,75,6.91,PF
391,patnanungan,14.7833,122.1833,79.23,95,100,19.75,PH
392,tirebolu,41.0069,38.8139,62.08,92,98,10.09,TR
393,singaraja,-8.112,115.0882,79.65,82,65,3.87,ID
394,fada,9.5667,8.3,69.53,90,100,1.92,NG
395,puerto santa,-8.9906,-78.6456,68.05,79,59,12.24,PE
396,kone,-21.0595,164.8658,71.58,48,83,2.17,NC
397,tangalle,6.024,80.7911,78.96,88,100,18.77,LK
398,ad dabbah,18.05,30.95,93.02,12,0,15.32,SD
399,shimonoseki,33.95,130.95,64.29,78,11,7.9,JP
400,dudinka,69.4058,86.1778,28.67,76,100,18.01,RU
401,ribeira brava,32.65,-17.0667,70.72,83,43,1.32,PT
402,boizenburg,53.3833,10.7167,62.31,91,2,2.53,DE
403,akkol',48.7833,53.2,58.19,47,0,7.85,KZ
404,bamboo flat,11.7,92.7167,83.12,80,100,23.02,IN
405,kingston,17.997,-76.7936,86.95,74,20,17.27,JM
406,amga,60.8953,131.9608,47.71,64,9,2.71,RU
407,midvagur,62.0511,-7.1939,50.83,93,100,16.11,FO
408,udachny,66.4167,112.4,40.44,88,100,15.66,RU
409,nemuro,43.3236,145.575,45.95,80,100,13.96,JP
410,keita,14.7551,5.7749,95.85,24,86,9.75,NE
411,ritchie,-29.038,24.6028,61.92,31,0,4.32,ZA
412,robertsport,6.7533,-11.3686,82.81,79,91,9.15,LR
413,floro,61.5996,5.0328,68.07,94,100,4.61,NO
414,nabire,-3.3667,135.4833,76.05,94,100,3.76,ID
415,aracati,-4.5617,-37.7697,81.54,75,17,8.9,BR
416,saint-philippe,-21.3585,55.7679,67.59,84,47,5.99,RE
417,dunedin,-45.8742,170.5036,43.81,70,86,13.0,NZ
418,ashchysay,43.5542,68.8889,38.16,48,1,5.32,KZ
